Time (s),Voltage (V)
0.101,4.8465842135
0.223,4.6836128448
0.344,4.5110644944
0.465,4.3308330543
0.586,4.1453149793
0.707,3.9587564095
0.828,3.7786607048
0.950,3.6088950410
1.072,3.4539174341
1.194,3.3167963294
1.315,3.2006705086
1.436,3.1035373753
1.557,3.0250889788
1.678,2.9619413192
1.799,2.9126954227
1.921,2.8743107581
2.043,2.8449788866
2.165,2.8227825484
2.286,2.8060194266
2.407,2.7934863529
2.528,2.7880528804
2.649,2.7819889607
2.770,2.7787650808
2.892,2.7768523309
3.014,2.7752746923
3.136,2.7743881481
3.257,2.7735683511
3.378,2.7715061253
3.499,2.7710167486
3.621,2.7729477180
3.743,2.7741371879
3.865,2.7760152977
3.986,2.7767349480
4.107,2.7785612181
4.228,2.7793836499
4.349,2.7811767647
4.470,2.7788848791
4.592,2.7775467571
4.714,2.7776069854
4.836,2.7769059336
4.957,2.7836576604
5.078,2.7847435443
5.199,2.7861479637
5.320,2.7881148462
5.441,2.7930348456
5.563,2.7923343527
5.685,2.7926632332
5.807,2.7922949764
5.928,2.7953089188
6.049,2.7915453420
6.170,2.7935925272
6.292,2.7876998420
6.414,2.7875185492
6.536,2.7886587814
6.657,2.7897319067
6.778,2.7896373696
6.899,2.7906719279
7.021,2.7905362117
7.143,2.7905341633
7.265,2.7912965913
7.386,2.7919949423
7.507,2.7926741569
7.628,2.7932579998
7.749,2.7940108388
7.870,2.7948097879
7.992,2.7953358022
8.114,2.7973537339
8.236,2.7975719601
8.357,2.7961656492
8.478,2.7962010149
8.599,2.7960788743
8.720,2.7957370996
8.841,2.7959113812
8.963,2.7969647706
9.085,2.7963376178
9.207,2.7960402846
9.328,2.7955637341
9.449,2.7969003295
9.570,2.7962124802
9.691,2.7967571627
9.812,2.7974467269
9.934,2.7973017515
10.056,2.7966635933
10.179,2.7951748153
10.302,2.7963422303
10.424,2.7968240369
10.546,2.7969176988
10.668,2.7977014704
10.791,2.7979375371
10.913,2.7981835111
11.035,2.7984712088
11.158,2.7988928107
11.280,2.7987744072
11.402,2.7989090921
11.525,2.7992503559
11.647,2.7997110257
11.769,2.7998674783
11.892,2.7999395175
12.014,2.8002661098
12.136,2.8006055459
12.259,2.8007692408
12.381,2.8010939153
12.503,2.8015942259
12.626,2.8015020721
12.748,2.8019051922
12.870,2.8020376172
12.993,2.8020547661
13.115,2.8024575216
13.237,2.8013129187
13.359,2.7984119981
13.482,2.7990497485
13.604,2.7992523581
13.726,2.7998110217
13.849,2.7999490703
13.971,2.7999575767
14.093,2.8001373687
14.216,2.8000350449
14.338,2.7999066136
14.460,2.7984477999
14.583,2.7962917373
14.705,2.7921726243
14.827,2.7886064404
14.950,2.7938298609
15.072,2.7951725582
15.194,2.7960174096
15.317,2.7963367716
15.439,2.7961615171
15.561,2.7961849326
15.683,2.7964897177
15.806,2.7963545124
15.928,2.7964163324
16.050,2.7966535797
16.173,2.7957117498
16.295,2.7886176062
16.417,2.7927635782
16.540,2.7942338051
16.662,2.7968019989
16.784,2.7992877648
16.907,2.8002724986
17.029,2.8006159644
17.151,2.8005490892
17.274,2.8006163971
17.396,2.8008211940
17.518,2.8006826574
17.641,2.8006723488
17.763,2.8007716083
17.885,2.8005738751
18.008,2.8006614314
18.130,2.8007041167
18.252,2.8007027393
18.374,2.8008754362
18.497,2.8006191264
18.619,2.8004189990
18.741,2.8007955707
18.864,2.8006750782
18.986,2.8003886967
19.108,2.8001607775
19.231,2.8001687832
19.353,2.8003845645
19.475,2.8003590644
19.598,2.8001605951
19.720,2.8000292005
19.842,2.8001690395
19.965,2.8002520285
20.087,2.7998873303
20.209,2.7998330535
20.332,2.7996911464
20.454,2.7997247995
20.576,2.7997399506
20.698,2.7994048091
20.821,2.7994659748
20.943,2.7994089401
21.066,2.7993117663
21.189,2.7993150423
21.312,2.7990057562
21.435,2.7991848514
21.557,2.7988650284
21.680,2.7987208614
21.802,2.7988598047
21.924,2.7986970354
22.047,2.7985420888
22.170,2.7984448651
22.293,2.7982731297
22.416,2.7983019057
22.538,2.7981861715
22.661,2.7980453466
22.783,2.7977634102
22.905,2.7981008683
23.027,2.7977028474
23.150,2.7978133516
23.272,2.7973116295
23.394,2.7974604969
23.517,2.7972319994
23.639,2.7972138355
23.761,2.7968270807
23.884,2.7968376079
24.006,2.7966918084
24.128,2.7964924717
24.251,2.7965837780
24.373,2.7964521443
24.495,2.7965337815
24.618,2.7964213815
24.740,2.7960995350
24.862,2.7958673175
24.985,2.7960160726
25.107,2.7960292886
25.229,2.7959361671
25.352,2.7957663368
25.474,2.7957937566
25.596,2.7955224127
25.718,2.7952972429
25.841,2.7952491244
25.963,2.7951257273
26.085,2.7952118694
26.208,2.7948492742
26.330,2.7949645738
26.452,2.7948469667
26.575,2.7947619349
26.697,2.7947703632
26.819,2.7946321560
26.942,2.7943852842
27.064,2.7943475075
27.186,2.7939698230
27.309,2.7941655713
27.431,2.7938654245
27.553,2.7937756671
27.676,2.7939376703
27.798,2.7935610234
27.920,2.7934150212
28.042,2.7933818475
28.165,2.7930356191
28.287,2.7932029046
28.409,2.7929067854
28.532,2.7926726152
28.654,2.7926106312
28.776,2.7924812949
28.899,2.7925770878
29.021,2.7922456254
29.143,2.7920475426
29.266,2.7921376620
29.388,2.7916271818
29.510,2.7920916063
29.633,2.7919083964
29.755,2.7918475626
